"Source:","C:\Users\lkune\OneDrive\Desktop\Robosoccer_PCB\soccer-pcb\bez_controller1v5\bez_controller1v5.kicad_sch"
"Date:","3/27/2023 12:57:10 PM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R5","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R6","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R7","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R8","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R11","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","U1","74LVC2G241","74xGxx:74LVC2G241","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"","","U2","74LVC2G241","74xGxx:74LVC2G241","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"","","U3","74LVC2G241","74xGxx:74LVC2G241","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"","","U4","74LVC2G241","74xGxx:74LVC2G241","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"","","U5","74LVC2G241","74xGxx:74LVC2G241","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"","","U6","74LVC2G241","74xGxx:74LVC2G241","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"","","U7","PX07806-500-S","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220F-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"","","U8","LF50ABV_TO220","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"","","U9","LD1117AS33TR_SOT223","Regulator_Linear:LD1117S12TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"","","U10","USBLC6-2SC6","Power_Protection:USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"","","U11","STM32F446RETx","MCU_ST_STM32F4:STM32F446RETx","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00141306.pdf"
"","","Y1","8MHz","Device:Crystal","Crystal:Crystal_HC49-U_Vertical","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","14","C1, C2, C3, C4, C5, C6, C9, C11, C14, C15, C16, C17, C18, C22","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"2","1","C7","10uF/50V","Device:C","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"3","1","C8","22uF/16V","Device:C","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
