From page 65-84 on the STM32F767 Datasheet
(https://www.mouser.ca/datasheet/2/389/stm32f765bg-956218.pdf)

Signals	Pin

TX_CLK	18
TXD0	51
TXD1	52
TXD2	17
TXD3	1 and 95 which one?????????
TX_EN	47 
TX_ER

RX_CLK	23
RXD0	32
RXD1	33
RXD2	34
RXD3	35
RX_DV	31
RX_ER	46

MDIO	24 (ETH_MDIO and MDIOS_MDIO) and 69 (MDIOS_MDIO) which one?????????
MDC	16 (ETH_MDC and MDIOS_MDC) and 30 (MDIOS_MDC) which one?????????
